id,height,weight,label
209,164,44,thin
210,172,35,thin
211,171,45,thin
212,162,35,thin
213,132,80,fat
214,147,54,normal
215,155,56,normal
216,146,73,fat
217,188,79,normal
218,134,69,fat
219,156,41,thin
220,165,35,thin
221,122,61,fat
222,185,44,thin
223,175,61,normal
224,169,69,normal
225,138,44,normal
226,199,58,thin
227,149,40,thin
228,180,58,thin
229,196,77,normal
230,198,45,thin
231,199,68,thin
232,192,54,thin
233,167,73,fat
234,173,50,thin
235,123,45,fat
236,179,55,thin
237,190,49,thin
238,199,50,thin
239,182,53,thin
240,175,39,thin
241,146,58,fat
242,180,75,normal
243,156,58,normal
244,187,62,thin
245,193,46,thin
246,184,54,thin
247,200,53,thin
248,160,66,fat
249,195,61,thin
250,184,63,normal
251,125,67,fat
252,156,35,thin
253,159,42,thin
254,155,71,fat
255,185,47,thin
256,195,36,thin
257,123,53,fat
258,181,65,normal
259,169,74,fat
260,121,57,fat
261,124,70,fat
262,176,74,normal
263,137,35,normal
264,177,51,thin
265,124,66,fat
266,172,72,normal
267,151,44,normal
268,178,57,thin
269,125,64,fat
270,150,48,normal
271,146,44,normal
272,146,65,fat
273,135,65,fat
274,188,51,thin
275,172,51,thin
276,193,49,thin
277,145,64,fat
278,131,59,fat
279,195,76,normal
280,127,36,normal
281,140,77,fat
282,179,39,thin
283,171,50,thin
284,198,40,thin
285,173,73,normal
286,121,52,fat
287,122,44,fat
288,124,80,fat
289,132,46,fat
290,120,74,fat
291,144,56,fat
292,191,44,thin
293,145,41,normal
294,136,51,fat
295,145,60,fat
296,151,39,thin
297,129,45,fat
298,121,71,fat
299,200,69,thin
300,145,41,normal
301,188,63,thin
302,145,45,normal
303,191,67,thin
304,148,72,fat
305,179,50,thin
306,181,53,thin
307,196,37,thin
308,197,73,normal
309,152,60,fat
310,123,68,fat
311,163,75,fat
312,181,75,normal
313,183,56,thin
314,194,66,thin
315,133,47,fat
316,169,62,normal
317,161,76,fat
318,157,37,thin
319,150,62,fat
320,159,45,thin
321,185,39,thin
322,152,75,fat
323,193,66,thin
324,135,55,fat
325,148,59,fat
326,169,65,normal
327,165,55,normal
328,163,46,thin
329,125,78,fat
330,160,65,fat
331,196,76,normal
332,163,65,normal
333,195,36,thin
334,147,79,fat
335,177,37,thin
336,154,43,thin
337,124,48,fat
338,192,75,normal
339,132,74,fat
340,125,47,fat
341,178,73,normal
342,175,62,normal
343,162,70,fat
344,150,41,thin
345,152,71,fat
346,159,46,thin
347,192,65,thin
348,176,78,fat
349,150,58,fat
350,128,67,fat
351,120,70,fat
352,177,70,normal
353,157,78,fat
354,163,50,normal
355,128,64,fat
356,147,73,fat
357,136,68,fat
358,141,46,normal
359,185,61,thin
360,148,55,fat
361,133,64,fat
362,130,80,fat
363,152,49,normal
364,120,64,fat
365,192,49,thin
366,149,49,normal
367,148,75,fat
368,137,59,fat
369,160,78,fat
370,181,78,normal
371,200,39,thin
372,133,35,normal
373,184,38,thin
374,188,44,thin
375,135,72,fat
376,170,44,thin
377,147,35,thin
378,131,52,fat
379,179,47,thin
380,186,47,thin
381,199,57,thin
382,192,52,thin
383,120,48,fat
384,146,68,fat
385,180,64,normal
386,129,68,fat
387,140,52,fat
388,159,47,normal
389,182,62,normal
390,137,77,fat
391,152,45,normal
392,123,80,fat
393,138,35,thin
394,189,58,thin
395,147,45,normal
396,168,48,thin
397,134,67,fat
398,124,44,fat
399,185,55,thin
400,189,60,thin
401,176,55,thin
402,124,79,fat
403,141,59,fat
404,172,41,thin
405,196,78,normal
406,132,54,fat
407,174,41,thin
408,180,74,normal
409,136,41,normal
410,139,51,fat
411,196,52,thin
412,136,54,fat
413,147,59,fat
414,129,48,fat
415,195,71,normal
416,196,70,thin
417,150,36,thin
418,175,53,thin
419,174,36,thin
420,192,57,thin
421,193,80,normal
422,183,78,normal
423,164,74,fat
424,177,54,thin
425,124,72,fat
426,178,78,normal
427,130,59,fat
428,158,60,normal
429,142,62,fat
430,130,80,fat
431,170,39,thin
432,175,79,fat
433,149,68,fat
434,197,44,thin
435,136,61,fat
436,120,56,fat
437,151,77,fat
438,183,80,normal
439,157,78,fat
440,170,40,thin
441,146,76,fat
442,188,74,normal
443,132,48,fat
444,146,55,fat
445,167,48,thin
446,177,76,normal
447,125,50,fat
448,177,70,normal
449,197,76,normal
450,168,47,thin
451,174,35,thin
452,175,37,thin
453,125,45,fat
454,190,59,thin
455,156,38,thin
456,136,75,fat
457,178,59,normal
458,138,77,fat
459,176,63,normal
460,140,50,fat
461,158,66,fat
462,197,61,thin
463,176,74,normal
464,165,51,normal
465,135,39,normal
466,173,48,thin
467,135,40,normal
468,160,48,normal
469,193,41,thin
470,149,80,fat
471,123,46,fat
472,186,74,normal
473,142,47,normal
474,136,64,fat
475,165,45,thin
476,187,80,normal
477,126,42,fat
478,163,71,fat
479,197,76,normal
480,195,76,normal
481,198,59,thin
482,144,50,normal
483,174,76,fat
484,170,76,fat
485,142,79,fat
486,194,38,thin
487,188,64,thin
488,156,64,fat
489,161,35,thin
490,136,49,fat
491,164,51,normal
492,167,60,normal
493,144,80,fat
494,148,55,fat
495,186,72,normal
496,127,61,fat
497,138,65,fat
498,138,35,thin
499,187,61,thin
500,125,54,fat
501,146,60,fat
502,187,62,thin
503,140,44,normal
504,165,35,thin
505,195,35,thin
506,162,66,fat
507,124,71,fat
508,170,69,normal
509,187,43,thin
510,172,39,thin
511,143,57,fat
512,195,53,thin
513,175,46,thin
514,164,55,normal
515,198,60,thin
516,160,51,normal
517,182,52,thin
518,123,47,fat
519,197,60,thin
520,159,48,normal
521,141,78,fat
522,136,77,fat
523,157,54,normal
524,130,53,fat
525,190,42,thin
526,129,61,fat
527,159,74,fat
528,149,48,normal
529,149,62,fat
530,137,79,fat
531,143,71,fat
532,191,39,thin
533,163,65,normal
534,197,52,thin
535,163,43,thin
536,198,40,thin
537,161,51,normal
538,188,61,thin
539,131,47,fat
540,184,43,thin
541,198,38,thin
542,175,36,thin
543,120,44,fat
544,182,38,thin
545,196,62,thin
546,131,61,fat
547,171,59,normal
548,147,52,normal
549,190,55,thin
550,132,48,fat
551,174,58,normal
552,130,56,fat
553,158,48,normal
554,139,54,fat
555,196,53,thin
556,176,60,normal
557,146,62,fat
558,197,63,thin
559,168,42,thin
560,158,64,fat
561,124,73,fat
562,124,53,fat
563,198,53,thin
564,122,69,fat
565,162,56,normal
566,188,62,thin
567,147,75,fat
568,168,60,normal
569,158,76,fat
570,157,39,thin
571,156,55,normal
572,148,36,thin
573,139,68,fat
574,164,58,normal
575,169,35,thin
576,197,70,thin
577,197,49,thin
578,123,47,fat
579,159,66,fat
580,165,43,thin
581,182,60,thin
582,124,63,fat
583,156,40,thin
584,133,37,normal
585,192,70,normal
586,121,48,fat
587,194,70,normal
588,160,60,normal
589,194,53,thin
590,188,74,normal
591,199,46,thin
592,140,58,fat
593,141,49,normal
594,192,58,thin
595,149,70,fat
596,126,57,fat
597,150,49,normal
598,180,44,thin
599,186,41,thin
600,193,76,normal
601,121,72,fat
602,134,35,normal
603,184,38,thin
604,144,59,fat
605,122,41,fat
606,187,53,thin
607,148,37,thin
608,130,53,fat
609,193,72,normal
610,191,52,thin
611,182,54,thin
612,199,66,thin
613,154,71,fat
614,164,67,normal
615,152,70,fat
616,175,53,thin
617,195,77,normal
618,176,38,thin
619,186,48,thin
620,197,65,thin
621,161,78,fat
622,163,35,thin
623,198,58,thin
624,122,60,fat
625,143,67,fat
626,155,38,thin
627,129,61,fat
628,131,43,fat
629,146,70,fat
630,196,39,thin
631,173,55,thin
632,200,54,thin
633,148,55,fat
634,135,45,normal
635,149,76,fat
636,146,46,normal
637,130,47,fat
638,169,75,fat
639,163,50,normal
640,161,71,fat
641,141,50,fat
642,174,64,normal
643,149,51,normal
644,139,54,fat
645,137,78,fat
646,135,65,fat
647,139,57,fat
648,131,48,fat
649,138,72,fat
650,169,61,normal
651,195,76,normal
652,184,53,thin
653,134,40,normal
654,182,41,thin
655,131,42,normal
656,187,52,thin
657,166,60,normal
658,138,74,fat
659,120,51,fat
660,125,71,fat
661,139,63,fat
662,139,41,normal
663,125,56,fat
664,184,78,normal
665,135,45,normal
666,186,74,normal
667,172,46,thin
668,198,39,thin
669,155,59,normal
670,121,46,fat
671,128,40,normal
672,135,35,normal
673,200,53,thin
674,176,40,thin
675,181,35,thin
676,123,49,fat
677,147,36,thin
678,130,44,fat
679,146,65,fat
680,121,51,fat
681,192,65,thin
682,181,76,normal
683,151,79,fat
684,139,41,normal
685,182,80,normal
686,143,60,fat
687,153,68,fat
688,197,60,thin
689,125,57,fat
690,135,43,normal
691,167,49,thin
692,179,68,normal
693,197,55,thin
694,187,55,thin
695,148,48,normal
696,143,80,fat
697,144,44,normal
698,163,59,normal
699,157,36,thin
700,142,66,fat
701,148,45,normal
702,149,74,fat
703,153,55,normal
704,154,53,normal
705,194,66,thin
706,153,72,fat
707,178,57,thin
708,166,65,normal
709,168,51,thin
710,126,64,fat
711,132,35,normal
712,166,79,fat
713,174,38,thin
714,189,63,thin
715,152,42,thin
716,167,49,thin
717,191,52,thin
718,129,80,fat
719,120,41,fat
720,144,69,fat
721,195,49,thin
722,176,35,thin
723,142,76,fat
724,120,76,fat
725,167,35,thin
726,141,75,fat
727,172,62,normal
728,154,70,fat
729,199,72,thin
730,178,70,normal
731,138,64,fat
732,197,62,thin
733,129,61,fat
734,193,60,thin
735,135,40,normal
736,161,46,thin
737,174,61,normal
738,142,60,fat
739,127,61,fat
740,176,77,normal
741,200,64,thin
742,143,49,normal
743,126,49,fat
744,199,61,thin
745,175,38,thin
746,191,48,thin
747,184,66,normal
748,182,69,normal
749,185,35,thin
750,129,58,fat
751,195,74,normal
752,187,68,normal
753,132,57,fat
754,120,51,fat
755,192,37,thin
756,167,54,normal
757,156,47,normal
758,172,64,normal
759,152,41,thin
760,175,43,thin
761,188,79,normal
762,165,66,normal
763,154,56,normal
764,196,47,thin
765,143,43,normal
766,143,35,thin
767,174,50,thin
768,196,62,thin
769,155,43,thin
770,130,39,normal
771,171,60,normal
772,177,78,normal
773,172,76,fat
774,141,78,fat
775,131,37,normal
776,155,48,normal
777,174,38,thin
778,151,65,fat
779,159,35,thin
780,152,78,fat
781,178,69,normal
782,150,69,fat
783,180,38,thin
784,180,62,normal
785,173,53,thin
786,195,56,thin
787,139,52,fat
788,132,35,normal
789,151,40,thin
790,182,64,normal
791,189,55,thin
792,122,38,fat
793,139,75,fat
794,185,37,thin
795,146,50,normal
796,161,67,fat
797,125,73,fat
798,151,62,fat
799,197,65,thin
800,160,42,thin
801,185,71,normal
802,160,35,thin
803,185,60,thin
804,136,61,fat
805,197,40,thin
806,184,62,thin
807,171,64,normal
808,199,60,thin
809,152,53,normal
810,193,37,thin
811,175,76,normal
812,148,60,fat
813,172,48,thin
814,153,37,thin
815,187,67,normal
816,153,74,fat
817,142,37,thin
818,153,64,fat
819,154,63,fat
820,148,46,normal
821,182,37,thin
822,135,70,fat
823,142,69,fat
824,189,48,thin
825,123,59,fat
826,182,60,thin
827,159,71,fat
828,124,53,fat
829,185,65,normal
830,164,47,thin
831,126,67,fat
832,121,45,fat
833,120,69,fat
834,131,80,fat
835,195,75,normal
836,167,57,normal
837,142,46,normal
838,183,79,normal
839,160,56,normal
840,159,76,fat
841,156,47,normal
842,167,45,thin
843,156,40,thin
844,134,59,fat
845,185,79,normal
846,129,40,normal
847,171,37,thin
848,145,63,fat
849,199,65,thin
850,165,44,thin
851,164,65,normal
852,188,79,normal
853,139,38,normal
854,153,64,fat
855,200,70,thin
856,132,45,fat
857,124,36,normal
858,164,48,thin
859,177,57,thin
860,182,51,thin
861,126,69,fat
862,138,39,normal
863,183,40,thin
864,182,49,thin
865,160,41,thin
866,133,73,fat
867,131,53,fat
868,148,54,normal
869,177,37,thin
870,176,60,normal
871,178,41,thin
872,167,54,normal
873,196,66,thin
874,185,63,thin
875,151,78,fat
876,156,75,fat
877,167,42,thin
878,153,45,normal
879,185,46,thin
880,149,80,fat
881,154,46,normal
882,200,57,thin
883,152,52,normal
884,183,80,normal
885,128,43,fat
886,191,51,thin
887,185,59,thin
888,161,47,thin
889,188,45,thin
890,185,52,thin
891,126,44,fat
892,177,49,thin
893,144,73,fat
894,158,40,thin
895,158,74,fat
896,164,51,normal
897,144,42,normal
898,170,76,fat
899,179,68,normal
900,180,45,thin
901,146,39,thin
902,147,70,fat
903,186,79,normal
904,169,57,normal
905,163,78,fat
906,124,77,fat
907,157,39,thin
908,134,73,fat
909,161,47,thin
910,185,69,normal
911,153,75,fat
912,167,39,thin
913,180,64,normal
914,156,40,thin
915,145,76,fat
916,168,63,normal
917,127,61,fat
918,132,58,fat
919,127,66,fat
920,165,47,thin
921,188,36,thin
922,182,58,thin
923,190,52,thin
924,122,36,normal
925,195,56,thin
926,156,58,normal
927,142,73,fat
928,178,38,thin
929,188,47,thin
930,129,76,fat
931,141,58,fat
932,165,49,thin
933,128,57,fat
934,136,37,normal
935,171,50,thin
936,197,57,thin
937,175,74,normal
938,172,65,normal
939,155,58,normal
940,172,72,normal
941,195,42,thin
942,172,37,thin
943,121,67,fat
944,133,37,normal
945,127,39,normal
946,122,57,fat
947,159,64,fat
948,123,72,fat
949,136,49,fat
950,157,54,normal
951,179,79,normal
952,186,40,thin
953,140,70,fat
954,181,70,normal
955,163,65,normal
956,156,72,fat
957,183,48,thin
958,141,76,fat
959,149,72,fat
960,160,38,thin
961,172,36,thin
962,172,71,normal
963,169,66,normal
964,158,44,thin
965,189,37,thin
966,190,52,thin
967,188,42,thin
968,168,73,fat
969,142,76,fat
970,141,70,fat
971,120,42,fat
972,191,38,thin
973,172,61,normal
974,167,51,thin
975,146,55,fat
976,154,38,thin
977,139,80,fat
978,120,53,fat
979,196,50,thin
980,200,64,thin
981,165,75,fat
982,142,45,normal
983,161,78,fat
984,180,55,thin
985,190,66,thin
986,162,62,normal
987,171,56,normal
988,159,59,normal
989,137,39,normal
990,133,70,fat
991,186,65,normal
992,187,57,thin
993,191,80,normal
994,120,75,fat
995,147,68,fat
996,164,43,thin
997,152,45,normal
998,130,78,fat
999,162,69,fat
1000,177,58,normal
1001,154,67,fat
1002,174,50,thin
1003,128,56,fat
1004,182,44,thin
1005,151,72,fat
1006,155,79,fat
1007,189,47,thin
1008,174,37,thin
1009,145,77,fat
1010,142,66,fat
1011,164,39,thin
1012,122,36,normal
1013,171,75,fat
1014,141,75,fat
1015,168,46,thin
1016,196,73,normal
1017,123,69,fat
1018,183,35,thin
1019,177,52,thin
1020,169,66,normal
1021,121,39,fat
1022,143,71,fat
1023,159,68,fat
1024,194,66,thin
1025,188,47,thin
1026,168,55,normal
1027,170,52,thin
1028,185,48,thin
1029,144,64,fat
1030,189,75,normal
1031,164,44,thin
1032,162,67,fat
1033,145,53,fat
1034,194,69,thin
1035,190,75,normal
1036,191,38,thin
1037,121,59,fat
1038,153,55,normal
1039,187,48,thin
1040,191,44,thin
1041,160,71,fat
1042,180,40,thin
1043,170,54,normal
1044,181,55,thin
1045,146,39,thin
1046,142,65,fat
1047,173,59,normal
1048,129,59,fat
1049,157,79,fat
1050,170,51,thin
1051,167,54,normal
1052,191,39,thin
1053,183,63,normal
1054,157,40,thin
1055,159,40,thin
1056,184,47,thin
1057,197,56,thin
1058,165,53,normal
1059,196,59,thin
1060,198,79,normal
1061,128,65,fat
1062,122,69,fat
1063,144,78,fat
1064,186,56,thin
1065,158,38,thin
1066,197,65,thin
1067,161,72,fat
1068,130,41,normal
1069,170,38,thin
1070,146,67,fat
1071,131,79,fat
1072,150,80,fat
1073,169,38,thin
1074,167,51,thin
1075,194,41,thin
1076,173,41,thin
1077,136,50,fat
1078,184,79,normal
1079,182,59,thin
1080,176,61,normal
1081,143,61,fat
1082,148,70,fat
1083,166,79,fat
1084,156,64,fat
1085,178,66,normal
1086,135,62,fat
1087,148,72,fat
1088,176,45,thin
1089,130,51,fat
1090,193,75,normal
1091,164,68,fat
1092,156,36,thin
1093,165,48,thin
1094,139,68,fat
1095,172,56,normal
1096,152,77,fat
1097,135,70,fat
1098,148,45,normal
1099,200,56,thin
1100,200,68,thin
1101,183,78,normal
1102,196,72,normal
1103,175,37,thin
1104,136,73,fat
1105,196,44,thin
1106,184,41,thin
1107,176,53,thin
1108,162,55,normal
1109,165,65,normal
1110,122,46,fat
1111,149,51,normal
1112,121,59,fat
1113,190,42,thin
1114,173,60,normal
1115,135,36,normal
1116,167,69,normal
1117,182,49,thin
1118,196,76,normal
1119,147,42,normal
1120,149,51,normal
1121,136,36,normal
1122,166,75,fat
1123,200,61,thin
1124,181,44,thin
1125,146,76,fat
1126,143,60,fat
1127,120,67,fat
1128,120,75,fat
1129,132,37,normal
1130,180,50,thin
1131,132,49,fat
1132,134,39,normal
1133,139,48,normal
1134,170,72,normal
1135,179,80,normal
1136,145,77,fat
1137,178,79,normal
1138,136,53,fat
1139,174,40,thin
1140,167,59,normal
1141,193,57,thin
1142,180,35,thin
1143,125,35,normal
1144,127,56,fat
1145,130,44,fat
1146,172,57,normal
1147,139,80,fat
1148,198,80,normal
1149,182,57,thin
1150,182,50,thin
1151,141,68,fat
1152,123,36,normal
1153,159,63,normal
1154,153,52,normal
1155,146,51,normal
1156,151,47,normal
1157,156,45,thin
1158,140,37,normal
1159,123,78,fat
1160,146,59,fat
1161,195,57,thin
1162,198,68,thin
1163,165,70,fat
1164,120,46,fat
1165,178,57,thin
1166,127,70,fat
1167,134,73,fat
1168,163,44,thin
1169,191,61,thin
1170,160,38,thin
1171,173,66,normal
1172,142,37,thin
1173,138,74,fat
1174,197,50,thin
1175,171,56,normal
1176,140,36,thin
1177,143,63,fat
1178,179,45,thin
1179,152,63,fat
1180,166,49,thin
1181,186,59,thin
1182,158,70,fat
1183,131,54,fat
1184,168,71,fat
1185,148,66,fat
1186,169,55,normal
1187,167,49,thin
1188,140,53,fat
1189,169,53,normal
1190,153,40,thin
1191,145,79,fat
1192,125,40,fat
1193,129,76,fat
1194,175,51,thin
1195,200,37,thin
1196,129,57,fat
1197,192,36,thin
1198,167,59,normal
1199,127,42,fat
1200,175,56,thin
1201,134,65,fat
1202,164,73,fat
1203,131,39,normal
1204,162,59,normal
1205,169,40,thin
1206,134,58,fat
1207,129,66,fat
1208,178,55,thin
1209,120,46,fat
1210,165,40,thin
1211,138,38,normal
1212,162,41,thin
1213,163,80,fat
1214,184,74,normal
1215,159,51,normal
1216,192,73,normal
1217,189,66,thin
1218,169,52,thin
1219,161,37,thin
1220,187,36,thin
1221,136,48,fat
1222,164,40,thin
1223,126,38,normal
1224,187,59,thin
1225,175,80,fat
1226,162,43,thin
1227,170,59,normal
1228,171,45,thin
1229,174,40,thin
1230,199,41,thin
1231,195,77,normal
1232,179,67,normal
1233,191,76,normal
1234,125,44,fat
1235,192,71,normal
1236,148,78,fat
1237,123,38,fat
1238,166,54,normal
1239,198,47,thin
1240,127,80,fat
1241,169,44,thin
1242,147,53,normal
1243,172,40,thin
1244,172,75,fat
1245,150,46,normal
1246,140,62,fat
1247,195,72,normal
1248,194,78,normal
1249,126,47,fat
1250,143,73,fat
1251,162,66,fat
1252,157,66,fat
1253,144,77,fat
1254,143,36,thin
1255,179,53,thin
1256,148,35,thin
1257,142,51,fat
1258,155,77,fat
1259,153,40,thin
1260,128,50,fat
1261,156,50,normal
1262,182,42,thin
1263,177,72,normal
1264,177,62,normal
1265,176,39,thin
1266,136,57,fat
1267,151,50,normal
1268,186,61,thin
1269,156,54,normal
1270,120,38,fat
1271,127,70,fat
1272,194,62,thin
1273,169,38,thin
1274,199,58,thin
1275,134,64,fat
1276,130,48,fat
1277,150,73,fat
1278,121,48,fat
1279,192,68,thin
1280,160,66,fat
1281,121,58,fat
1282,155,60,normal
1283,163,36,thin
1284,156,40,thin
1285,162,67,fat
1286,162,53,normal
1287,179,53,thin
1288,198,72,thin
1289,193,54,thin
1290,120,70,fat
1291,192,35,thin
1292,198,67,thin
1293,125,63,fat
1294,146,79,fat
1295,200,40,thin
1296,170,78,fat
1297,175,80,fat
1298,189,74,normal
1299,195,70,thin
1300,195,61,thin
1301,130,59,fat
1302,144,68,fat
1303,125,41,fat
1304,149,62,fat
1305,120,44,fat
1306,184,76,normal
1307,183,38,thin
1308,192,80,normal
1309,162,77,fat
1310,179,76,normal
1311,126,52,fat
1312,194,71,normal
1313,166,66,normal
1314,139,53,fat
1315,197,75,normal
1316,130,44,fat
1317,135,52,fat
1318,121,58,fat
1319,157,64,fat
1320,171,46,thin
1321,147,75,fat
1322,147,46,normal
1323,191,74,normal
1324,158,66,fat
1325,164,80,fat
1326,193,76,normal
1327,121,71,fat
1328,141,67,fat
1329,178,62,normal
1330,126,56,fat
1331,186,80,normal
1332,179,57,thin
1333,120,72,fat
1334,169,45,thin
1335,184,79,normal
1336,176,38,thin
1337,192,42,thin
1338,173,62,normal
1339,153,67,fat
1340,165,67,normal
1341,140,67,fat
1342,161,51,normal
1343,197,67,thin
1344,154,46,normal
1345,132,74,fat
1346,194,63,thin
1347,188,45,thin
1348,191,54,thin
1349,185,71,normal
1350,175,57,normal
1351,142,49,normal
1352,161,69,fat
1353,124,67,fat
1354,172,40,thin
1355,145,75,fat
1356,178,76,normal
1357,128,48,fat
1358,168,58,normal
1359,127,50,fat
1360,184,74,normal
1361,137,79,fat
1362,138,48,fat
1363,121,67,fat
1364,176,76,normal
1365,168,38,thin
1366,146,54,fat
1367,142,80,fat
1368,184,35,thin
1369,134,74,fat
1370,195,77,normal
1371,127,72,fat
1372,190,70,normal
1373,168,47,thin
1374,159,74,fat
1375,165,75,fat
1376,169,68,normal
1377,148,46,normal
1378,140,49,fat
1379,120,79,fat
1380,123,49,fat
1381,191,77,normal
1382,190,52,thin
1383,178,74,normal
1384,190,77,normal
1385,198,57,thin
1386,149,67,fat
1387,190,37,thin
1388,128,77,fat
1389,152,77,fat
1390,157,62,fat
1391,183,71,normal
1392,152,68,fat
1393,145,59,fat
1394,153,77,fat
1395,135,63,fat
1396,186,72,normal
1397,168,51,thin
1398,177,52,thin
1399,132,75,fat
1400,149,49,normal
1401,185,36,thin
1402,121,77,fat
1403,143,36,thin
1404,195,54,thin
1405,146,56,fat
1406,139,56,fat
1407,141,51,fat
1408,170,44,thin
1409,155,80,fat
1410,199,55,thin
1411,184,40,thin
1412,183,60,thin
1413,172,76,fat
1414,179,76,normal
1415,134,59,fat
1416,128,76,fat
1417,123,44,fat
1418,189,70,normal
1419,191,74,normal
1420,134,37,normal
1421,153,36,thin
1422,165,39,thin
1423,178,53,thin
1424,132,46,fat
1425,172,43,thin
1426,195,70,thin
1427,140,49,fat
1428,170,63,normal
1429,174,72,normal
1430,145,60,fat
1431,128,69,fat
1432,148,55,fat
1433,197,63,thin
1434,121,76,fat
1435,154,71,fat
1436,167,50,thin
1437,181,69,normal
1438,168,52,thin
1439,143,72,fat
1440,154,46,normal
1441,144,56,fat
1442,170,48,thin
1443,171,64,normal
1444,166,48,thin
1445,188,41,thin
1446,146,68,fat
1447,145,46,normal
1448,124,67,fat
1449,141,50,fat
1450,183,78,normal
1451,127,70,fat
1452,157,37,thin
1453,163,51,normal
1454,178,67,normal
1455,179,41,thin
1456,142,65,fat
1457,159,49,normal
1458,122,38,fat
1459,131,73,fat
1460,180,66,normal
1461,156,47,normal
1462,122,51,fat
1463,147,55,fat
1464,188,59,thin
1465,176,61,normal
1466,156,37,thin
1467,126,67,fat
1468,193,68,thin
1469,172,76,fat
1470,194,39,thin
1471,148,57,fat
1472,142,36,thin
1473,126,53,fat
1474,168,55,normal
1475,175,40,thin
1476,154,36,thin
1477,133,62,fat
1478,130,51,fat
1479,121,51,fat
1480,155,64,fat
1481,157,72,fat
1482,156,68,fat
1483,123,73,fat
1484,184,62,thin
1485,199,74,normal
1486,174,76,fat
1487,121,37,fat
1488,123,51,fat
1489,153,47,normal
1490,154,37,thin
1491,163,45,thin
1492,194,76,normal
1493,172,67,normal
1494,159,45,thin
1495,146,58,fat
1496,171,42,thin
1497,196,37,thin
1498,170,58,normal
